RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
milano-torino,2025,99,Result,Result,2025-03-19,1,del Toro IsaacUAE Team Emirates - XRG,UAE Team Emirates - XRG,200,125,2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,2,Tulett BenTeam Visma | Lease a Bike,Team Visma | Lease a Bike,150,85,2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,3,Johannessen Tobias HallandUno-X Mobility,Uno-X Mobility,125,60,2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,4,Yates AdamUAE Team Emirates - XRG,UAE Team Emirates - XRG,100,50,2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,5,Rubio EinerMovistar Team,Movistar Team,85,45,2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,6,Johannessen Anders HallandUno-X Mobility,Uno-X Mobility,70,40,2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,7,Cepeda Jefferson AlexanderEF Education - EasyPost,EF Education - EasyPost,60,35,2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,8,Fortunato LorenzoXDS Astana Team,XDS Astana Team,50,30,2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,9,López Harold MartínXDS Astana Team,XDS Astana Team,40,26,2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,10,Storer MichaelTudor Pro Cycling Team,Tudor Pro Cycling Team,35,22,2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,11,Cras SteffTeam TotalEnergies,Team TotalEnergies,30,20,2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,12,Ulissi DiegoXDS Astana Team,XDS Astana Team,25,18,2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,13,Jegat JordanTeam TotalEnergies,Team TotalEnergies,20,16,2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,14,Hirschi MarcTudor Pro Cycling Team,Tudor Pro Cycling Team,15,14,2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,15,Howson DamienQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,10,12,2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,16,Carapaz RichardEF Education - EasyPost,EF Education - EasyPost,5,10,2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,17,de la Cruz DavidQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,5,9,2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,18,Pinarello AlessandroVF Group - Bardiani CSF - Faizanè,VF Group - Bardiani CSF - Faizanè,5,8,2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,19,Parra José FélixEquipo Kern Pharma,Equipo Kern Pharma,5,7,2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,20,Zeray NahomJCL Team UKYO,JCL Team UKYO,5,6,2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,21,Sosa Iván RamiroEquipo Kern Pharma,Equipo Kern Pharma,5,5,2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,22,Berrade UrkoEquipo Kern Pharma,Equipo Kern Pharma,5,4,2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,23,Gómez Germán DaríoTeam Polti VisitMalta,Team Polti VisitMalta,5,3,2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,24,Martinez Juan GuillermoTeam Picnic PostNL,Team Picnic PostNL,5,2,2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,25,Bennett GeorgeIsrael - Premier Tech,Israel - Premier Tech,5,1,2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,26,Gualdi SimoneIntermarché - Wanty,Intermarché - Wanty,5,"",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,27,Vermaerke KevinTeam Picnic PostNL,Team Picnic PostNL,5,"",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,28,Stork FlorianTudor Pro Cycling Team,Tudor Pro Cycling Team,5,"",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,29,Tolio AlexVF Group - Bardiani CSF - Faizanè,VF Group - Bardiani CSF - Faizanè,5,"",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,30,Vader MilanQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,5,"",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,31,Tsarenko KyryloTeam Solution Tech - Vini Fantini,Team Solution Tech - Vini Fantini,3,"",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,32,Latour PierreTeam TotalEnergies,Team TotalEnergies,3,"",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,33,Kulset JohannesUno-X Mobility,Uno-X Mobility,3,"",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,34,Conci NicolaXDS Astana Team,XDS Astana Team,3,"",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,35,Carboni GiovanniUnibet Tietema Rockets,Unibet Tietema Rockets,3,"",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,36,Badilatti MatteoQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,3,"",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,37,Milesi LorenzoMovistar Team,Movistar Team,3,"",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,38,Beloki MarkelEF Education - EasyPost,EF Education - EasyPost,3,"",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,39,Martí PauIsrael - Premier Tech,Israel - Premier Tech,3,"",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,40,Schultz NickIsrael - Premier Tech,Israel - Premier Tech,3,"",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,41,García PabloTeam Polti VisitMalta,Team Polti VisitMalta,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,42,Bettiol AlbertoXDS Astana Team,XDS Astana Team,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,43,Rutsch Jonas Intermarché - Wanty,Intermarché - Wanty,-15,"",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,44,Rojas VicenteVF Group - Bardiani CSF - Faizanè,VF Group - Bardiani CSF - Faizanè,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,45,Martín AlexTeam Polti VisitMalta,Team Polti VisitMalta,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,46,Paletti LucaVF Group - Bardiani CSF - Faizanè,VF Group - Bardiani CSF - Faizanè,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,47,Koerdt BjornTeam Picnic PostNL,Team Picnic PostNL,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,48,Huyet BaptisteUnibet Tietema Rockets,Unibet Tietema Rockets,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,49,Covi AlessandroUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,50,Pescador DiegoMovistar Team,Movistar Team,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,51,Tejada HaroldXDS Astana Team,XDS Astana Team,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,52,Tonelli AlessandroTeam Polti VisitMalta,Team Polti VisitMalta,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,53,Formolo DavideMovistar Team,Movistar Team,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,54,Carrascosa PabloEquipo Kern Pharma,Equipo Kern Pharma,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,55,Meris SergioUnibet Tietema Rockets,Unibet Tietema Rockets,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,56,Faure Prost AlexyIntermarché - Wanty,Intermarché - Wanty,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,57,Fancellu AlessandroJCL Team UKYO,JCL Team UKYO,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,58,Nordhagen JørgenTeam Visma | Lease a Bike,Team Visma | Lease a Bike,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,59,Cretti LucaMBH Bank Ballan CSB,MBH Bank Ballan CSB,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,60,Bais Mattia Team Polti VisitMalta,Team Polti VisitMalta,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,61,Christophersen Cedrik BakkeUnibet Tietema Rockets,Unibet Tietema Rockets,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,62,Stewart MarkTeam Solution Tech - Vini Fantini,Team Solution Tech - Vini Fantini,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,63,Christen FabioQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,64,Arrieta IgorUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,65,Bodet VincentTeam Picnic PostNL,Team Picnic PostNL,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,66,Doubey FabienTeam TotalEnergies,Team TotalEnergies,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,67,Delbove JorisTeam TotalEnergies,Team TotalEnergies,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,68,Clarke SimonIsrael - Premier Tech,Israel - Premier Tech,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,69,Colleoni KevinIntermarché - Wanty,Intermarché - Wanty,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,70,Calzoni WalterQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,71,Ambrosini MatteoMBH Bank Ballan CSB,MBH Bank Ballan CSB,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,72,Ťoupalík AdamUnibet Tietema Rockets,Unibet Tietema Rockets,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,73,Graat TijmenTeam Visma | Lease a Bike,Team Visma | Lease a Bike,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,74,Place MaxenceIntermarché - Wanty,Intermarché - Wanty,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,75,Holter ÅdneUno-X Mobility,Uno-X Mobility,"","",2025-08-25 12:53:39
milano-torino,2025,99,Result,Result,2025-03-19,76,Cabedo MarcJCL Team UKYO,JCL Team UKYO,"","",2025-08-25 12:53:39
