RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
paris-nice,2025,1,Stage 1,Normal stage,09/03,1,Merlier TimSoudal Quick-Step,Soudal Quick-Step,60,50,2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,2,Démare ArnaudArkéa - B&B Hotels,Arkéa - B&B Hotels,40,30,2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,3,Dainese AlbertoTudor Pro Cycling Team,Tudor Pro Cycling Team,30,18,2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,4,Molano Juan SebastiánUAE Team Emirates - XRG,UAE Team Emirates - XRG,25,13,2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,5,Zingle AxelTeam Visma | Lease a Bike,Team Visma | Lease a Bike,20,10,2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,6,Fedorov YevgeniyXDS Astana Team,XDS Astana Team,15,7,2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,7,van Dijke MickRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,10,4,2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,8,Kielich TimoAlpecin - Deceuninck,Alpecin - Deceuninck,8,3,2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,9,Albanese VincenzoEF Education - EasyPost,EF Education - EasyPost,5 -25,2,2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,10,Walscheid MaxTeam Jayco AlUla,Team Jayco AlUla,2,1,2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,11,Aniołkowski StanisławCofidis,Cofidis,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,12,Pedersen MadsLidl - Trek,Lidl - Trek,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,13,Jeannière EmilienTeam TotalEnergies,Team TotalEnergies,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,14,Andresen Tobias LundTeam Picnic PostNL,Team Picnic PostNL,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,15,Wright FredBahrain - Victorious,Bahrain - Victorious,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,16,Kristoff AlexanderUno-X Mobility,Uno-X Mobility,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,17,Page HugoIntermarché - Wanty,Intermarché - Wanty,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,18,Silva Guillermo ThomasCaja Rural - Seguros RGA,Caja Rural - Seguros RGA,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,19,Bol CeesXDS Astana Team,XDS Astana Team,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,20,Izquierdo ClémentCofidis,Cofidis,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,21,Govekar MatevžBahrain - Victorious,Bahrain - Victorious,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,22,Leitão IúriCaja Rural - Seguros RGA,Caja Rural - Seguros RGA,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,23,Doull OwainEF Education - EasyPost,EF Education - EasyPost,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,24,Moro ManlioMovistar Team,Movistar Team,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,25,Swift BenINEOS Grenadiers,INEOS Grenadiers,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,26,Turgis AnthonyTeam TotalEnergies,Team TotalEnergies,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,27,Smith DionIntermarché - Wanty,Intermarché - Wanty,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,28,Sheffield MagnusINEOS Grenadiers,INEOS Grenadiers,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,29,Paleni EnzoGroupama - FDJ,Groupama - FDJ,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,30,Milesi LorenzoMovistar Team,Movistar Team,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,31,McNulty BrandonUAE Team Emirates - XRGfav_gc,UAE Team Emirates - XRG,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,32,Gachignard ThomasTeam TotalEnergies,Team TotalEnergies,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,33,Vingegaard JonasTeam Visma | Lease a Bike,Team Visma | Lease a Bike,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,34,Zimmermann GeorgIntermarché - Wanty,Intermarché - Wanty,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,35,van Sintmaartensdijk RoelIntermarché - Wanty,Intermarché - Wanty,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,36,Sénéchal FlorianArkéa - B&B Hotels,Arkéa - B&B Hotels,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,37,Zambanini EdoardoBahrain - Victorious,Bahrain - Victorious,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,38,Jakobsen FabioTeam Picnic PostNL,Team Picnic PostNL,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,39,Scotson MilesArkéa - B&B Hotels,Arkéa - B&B Hotels,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,40,Van Lerberghe BertSoudal Quick-Step,Soudal Quick-Step,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,41,Flynn SeanTeam Picnic PostNL,Team Picnic PostNL,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,42,Jansen Amund GrøndahlUno-X Mobility,Uno-X Mobility,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,43,Barguil WarrenTeam Picnic PostNL,Team Picnic PostNL,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,44,Kirsch AlexLidl - Trek,Lidl - Trek,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,45,Champoussin ClémentXDS Astana Team,XDS Astana Team,"","",2025-09-02 20:43:16
paris-nice,2025,1,Stage 1,Normal stage,09/03,46,Jorgenson MatteoTeam Visma | Lease a Bikefav_gc,Team Visma | Lease a Bike,"","",2025-09-02 20:43:16
