RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
paris-roubaix,2025,99,Result,Result,2025-04-13,1,van der Poel MathieuAlpecin - Deceuninck,Alpecin - Deceuninck,800,275,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,2,Pogačar TadejUAE Team Emirates - XRG,UAE Team Emirates - XRG,640,200,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,3,Pedersen MadsLidl - Trek,Lidl - Trek,520,150,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,4,van Aert WoutTeam Visma | Lease a Bike,Team Visma | Lease a Bike,440,120,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,5,Vermeersch FlorianUAE Team Emirates - XRG,UAE Team Emirates - XRG,360,100,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,6,Rutsch Jonas Intermarché - Wanty,Intermarché - Wanty,280,90,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,7,Bissegger StefanDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,240,80,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,8,Hoelgaard Markus Uno-X Mobility,Uno-X Mobility,200,70,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,9,Wright FredBahrain - Victorious,Bahrain - Victorious,160,60,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,10,Rex LaurenzIntermarché - Wanty,Intermarché - Wanty,135,50,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,11,Philipsen JasperAlpecin - Deceuninck,Alpecin - Deceuninck,110,46,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,12,Haller MarcoTudor Pro Cycling Team,Tudor Pro Cycling Team,95,42,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,13,Ganna FilippoINEOS Grenadiers,INEOS Grenadiers,85,38,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,14,Mihkels MadisEF Education - EasyPost,EF Education - EasyPost,65,34,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,15,Girmay BiniamIntermarché - Wanty,Intermarché - Wanty,55,30,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,16,Teunissen MikeXDS Astana Team,XDS Astana Team,50,28,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,17,Hoole DaanLidl - Trek,Lidl - Trek,50,26,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,18,van Dijke MickRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,50,24,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,19,Mayrhofer MariusTudor Pro Cycling Team,Tudor Pro Cycling Team,50,22,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,20,van der Hoorn TacoIntermarché - Wanty,Intermarché - Wanty,50,20,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,21,Jacobs JohanGroupama - FDJ,Groupama - FDJ,30,19,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,22,De Bondt DriesDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,30,18,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,23,Bauhaus PhilBahrain - Victorious,Bahrain - Victorious,30,17,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,24,Morgado AntónioUAE Team Emirates - XRG,UAE Team Emirates - XRG,30,16,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,25,Dauphin FlorianTeam TotalEnergies,Team TotalEnergies,30,15,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,26,Resell Erik NordsæterUno-X Mobility,Uno-X Mobility,30,14,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,27,Huens AxelUnibet Tietema Rockets,Unibet Tietema Rockets,30,13,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,28,Lampaert YvesSoudal Quick-Step,Soudal Quick-Step,30,12,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,29,Bol CeesXDS Astana Team,XDS Astana Team,30,11,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,30,van Dijke TimRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,30,10,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,31,Pedersen Rasmus SøjbergDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,15,9,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,32,Frison FrederikQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,15,8,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,33,Kopecký TomášUnibet Tietema Rockets,Unibet Tietema Rockets,15,7,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,34,Planckaert EdwardAlpecin - Deceuninck,Alpecin - Deceuninck,15,6,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,35,van Baarle DylanTeam Visma | Lease a Bike,Team Visma | Lease a Bike,15,5,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,36,Merlier TimSoudal Quick-Step,Soudal Quick-Step,15,5,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,37,Nizzolo GiacomoQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,15,5,2025-08-25 12:55:40
paris-roubaix,2025,99,Result,Result,2025-04-13,38,Biermans JentheArkéa - B&B Hotels,Arkéa - B&B Hotels,15,5,2025-08-25 12:55:40
