RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
san-sebastian,2025,99,Result,Result,2025-08-02,1,Ciccone GiulioLidl - Trek,Lidl - Trek,400,225,2025-09-02 20:51:51
san-sebastian,2025,99,Result,Result,2025-08-02,2,Christen JanUAE Team Emirates - XRG,UAE Team Emirates - XRG,320,150,2025-09-02 20:51:51
san-sebastian,2025,99,Result,Result,2025-08-02,3,Van Gils MaximRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,260,110,2025-09-02 20:51:51
san-sebastian,2025,99,Result,Result,2025-08-02,4,Benoot TiesjTeam Visma | Lease a Bike,Team Visma | Lease a Bike,220,90,2025-09-02 20:51:51
san-sebastian,2025,99,Result,Result,2025-08-02,5,del Toro IsaacUAE Team Emirates - XRG,UAE Team Emirates - XRG,180,80,2025-09-02 20:51:51
san-sebastian,2025,99,Result,Result,2025-08-02,6,Powless NeilsonEF Education - EasyPost,EF Education - EasyPost,140,70,2025-09-02 20:51:51
san-sebastian,2025,99,Result,Result,2025-08-02,7,Plapp LukeTeam Jayco AlUla,Team Jayco AlUla,120,60,2025-09-02 20:51:51
san-sebastian,2025,99,Result,Result,2025-08-02,8,Scaroni ChristianXDS Astana Team,XDS Astana Team,100,50,2025-09-02 20:51:51
san-sebastian,2025,99,Result,Result,2025-08-02,9,Uijtdebroeks CianTeam Visma | Lease a Bike,Team Visma | Lease a Bike,80,46,2025-09-02 20:51:51
san-sebastian,2025,99,Result,Result,2025-08-02,10,Meurisse XandroAlpecin - Deceuninck,Alpecin - Deceuninck,68,42,2025-09-02 20:51:51
san-sebastian,2025,99,Result,Result,2025-08-02,11,Schmid MauroTeam Jayco AlUla,Team Jayco AlUla,56,38,2025-09-02 20:51:51
san-sebastian,2025,99,Result,Result,2025-08-02,12,Kron AndreasUno-X Mobility,Uno-X Mobility,48,34,2025-09-02 20:51:51
san-sebastian,2025,99,Result,Result,2025-08-02,13,Onley OscarTeam Picnic PostNL,Team Picnic PostNL,40,30,2025-09-02 20:51:51
san-sebastian,2025,99,Result,Result,2025-08-02,14,Bisiaux LéoDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,32,26,2025-09-02 20:51:51
san-sebastian,2025,99,Result,Result,2025-08-02,15,Grégoire RomainGroupama - FDJ,Groupama - FDJ,28,22,2025-09-02 20:51:51
san-sebastian,2025,99,Result,Result,2025-08-02,16,Prodhomme NicolasDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,24,20,2025-09-02 20:51:51
san-sebastian,2025,99,Result,Result,2025-08-02,17,Nerurkar LukasEF Education - EasyPost,EF Education - EasyPost,24,18,2025-09-02 20:51:51
san-sebastian,2025,99,Result,Result,2025-08-02,18,Charmig AnthonXDS Astana Team,XDS Astana Team,24,17,2025-09-02 20:51:51
san-sebastian,2025,99,Result,Result,2025-08-02,19,Kulset JohannesUno-X Mobility,Uno-X Mobility,24,16,2025-09-02 20:51:51
san-sebastian,2025,99,Result,Result,2025-08-02,20,Berrade UrkoEquipo Kern Pharma,Equipo Kern Pharma,24,15,2025-09-02 20:51:51
san-sebastian,2025,99,Result,Result,2025-08-02,21,Carr SimonCofidis,Cofidis,16,14,2025-09-02 20:51:51
san-sebastian,2025,99,Result,Result,2025-08-02,22,Roglič PrimožRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,16,13,2025-09-02 20:51:51
san-sebastian,2025,99,Result,Result,2025-08-02,23,Aranburu AlexCofidis,Cofidis,16,12,2025-09-02 20:51:51
san-sebastian,2025,99,Result,Result,2025-08-02,24,Aleotti GiovanniRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,16,11,2025-09-02 20:51:51
san-sebastian,2025,99,Result,Result,2025-08-02,25,Hirschi MarcTudor Pro Cycling Team,Tudor Pro Cycling Team,16,10,2025-09-02 20:51:51
san-sebastian,2025,99,Result,Result,2025-08-02,26,Shaw JamesEF Education - EasyPost,EF Education - EasyPost,16,9,2025-09-02 20:51:51
