RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
tour-de-suisse,2025,1,Stage 1,Normal stage,15/06,1,Grégoire Romain Groupama - FDJ,Groupama - FDJ,60,50,2025-08-25 12:59:02
tour-de-suisse,2025,1,Stage 1,Normal stage,15/06,2,Vauquelin Kévin Arkéa - B&B Hotelsfav_gc,Arkéa - B&B Hotels,40,30,2025-08-25 12:59:02
tour-de-suisse,2025,1,Stage 1,Normal stage,15/06,3,Lemmen Bart Team Visma | Lease a Bike,Team Visma | Lease a Bike,30,18,2025-08-25 12:59:02
tour-de-suisse,2025,1,Stage 1,Normal stage,15/06,4,Alaphilippe Julian Tudor Pro Cycling Team,Tudor Pro Cycling Team,25,13,2025-08-25 12:59:02
tour-de-suisse,2025,1,Stage 1,Normal stage,15/06,5,O'Connor Ben Team Jayco AlUlafav_gc,Team Jayco AlUla,20,10,2025-08-25 12:59:02
tour-de-suisse,2025,1,Stage 1,Normal stage,15/06,6,Großschartner Felix UAE Team Emirates - XRGfav_gc,UAE Team Emirates - XRG,15,7,2025-08-25 12:59:02
tour-de-suisse,2025,1,Stage 1,Normal stage,15/06,7,Castrillo Pablo Movistar Team,Movistar Team,10,4,2025-08-25 12:59:02
tour-de-suisse,2025,1,Stage 1,Normal stage,15/06,8,Kämna Lennard Lidl - Trek,Lidl - Trek,8,3,2025-08-25 12:59:02
tour-de-suisse,2025,1,Stage 1,Normal stage,15/06,9,Kepplinger Rainer Bahrain - Victorious,Bahrain - Victorious,5,2,2025-08-25 12:59:02
tour-de-suisse,2025,1,Stage 1,Normal stage,15/06,10,Conci Nicola XDS Astana Team,XDS Astana Team,2,1,2025-08-25 12:59:02
tour-de-suisse,2025,1,Stage 1,Normal stage,15/06,11,Swift Ben INEOS Grenadiers,INEOS Grenadiers,"","",2025-08-25 12:59:02
tour-de-suisse,2025,1,Stage 1,Normal stage,15/06,12,Fortunato Lorenzo XDS Astana Teamfav_gc,XDS Astana Team,"","",2025-08-25 12:59:02
tour-de-suisse,2025,1,Stage 1,Normal stage,15/06,13,Zimmermann Georg Intermarché - Wanty,Intermarché - Wanty,"","",2025-08-25 12:59:02
tour-de-suisse,2025,1,Stage 1,Normal stage,15/06,14,Bax Sjoerd Q36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,"","",2025-08-25 12:59:02
tour-de-suisse,2025,1,Stage 1,Normal stage,15/06,15,Maisonobe Sam Cofidis,Cofidis,"","",2025-08-25 12:59:02
tour-de-suisse,2025,1,Stage 1,Normal stage,15/06,16,Costiou Ewen Arkéa - B&B Hotels,Arkéa - B&B Hotels,"","",2025-08-25 12:59:02
