RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
tour-of-the-alps,2025,1,Stage 1,Normal stage,21/04,1,Ciccone GiulioLidl - Trekfav_gc,Lidl - Trek,20 -15,30,2025-09-02 20:46:36
tour-of-the-alps,2025,1,Stage 1,Normal stage,21/04,2,Gall FelixDecathlon AG2R La Mondiale Teamfav_gc,Decathlon AG2R La Mondiale Team,15,18,2025-09-02 20:46:36
tour-of-the-alps,2025,1,Stage 1,Normal stage,21/04,3,Seixas PaulDecathlon AG2R La Mondiale Teamfav_gc,Decathlon AG2R La Mondiale Team,10,12,2025-09-02 20:46:36
tour-of-the-alps,2025,1,Stage 1,Normal stage,21/04,4,Bardet RomainTeam Picnic PostNLfav_gc,Team Picnic PostNL,5,7,2025-09-02 20:46:36
tour-of-the-alps,2025,1,Stage 1,Normal stage,21/04,5,Stork FlorianTudor Pro Cycling Team,Tudor Pro Cycling Team,3,4,2025-09-02 20:46:36
tour-of-the-alps,2025,1,Stage 1,Normal stage,21/04,6,Hindley JaiRed Bull - BORA - hansgrohefav_gc,Red Bull - BORA - hansgrohe,"",3,2025-09-02 20:46:36
tour-of-the-alps,2025,1,Stage 1,Normal stage,21/04,7,Storer MichaelTudor Pro Cycling Teamfav_gc,Tudor Pro Cycling Team,"",2,2025-09-02 20:46:36
tour-of-the-alps,2025,1,Stage 1,Normal stage,21/04,8,Poole MaxTeam Picnic PostNLfav_gc,Team Picnic PostNL,"",1,2025-09-02 20:46:36
tour-of-the-alps,2025,1,Stage 1,Normal stage,21/04,9,Cepeda Jefferson AlexanderEF Education - EasyPost,EF Education - EasyPost,"","",2025-09-02 20:46:36
tour-of-the-alps,2025,1,Stage 1,Normal stage,21/04,10,Riccitello MatthewIsrael - Premier Techfav_gc,Israel - Premier Tech,"","",2025-09-02 20:46:36
tour-of-the-alps,2025,1,Stage 1,Normal stage,21/04,11,Double PaulTeam Jayco AlUla,Team Jayco AlUla,"","",2025-09-02 20:46:36
tour-of-the-alps,2025,1,Stage 1,Normal stage,21/04,12,Piganzoli DavideTeam Polti VisitMaltafav_gc,Team Polti VisitMalta,"","",2025-09-02 20:46:36
