RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
uec-road-european-championships,2025,99,Result,Result,2025-10-05,1,Pogačar TadejSlovenia,Slovenia,250,150,2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,2,Evenepoel RemcoBelgium,Belgium,200,100,2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,3,Seixas PaulFrance,France,150,75,2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,4,Scaroni ChristianItaly,Italy,125,60,2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,5,Skujiņš TomsLatvia,Latvia,100,50,2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,6,Ayuso JuanSpain,Spain,90,45,2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,7,Skjelmose MattiasDenmark,Denmark,80,40,2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,8,Sivakov PavelFrance,France,70,36,2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,9,Garofoli GianmarcoItaly,Italy,60,32,2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,10,Grégoire RomainFrance,France,50,28,2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,11,Frigo MarcoItaly,Italy,40,24,2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,12,Prodhomme NicolasFrance,France,35,20,2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,13,Benoot TiesjBelgium,Belgium,30,18,2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,14,Vervaeke LouisBelgium,Belgium,25,16,2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,15,Großschartner FelixAustria,Austria,20,14,2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,16,Paret-Peintre AurélienFrance,France,15,12,2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,17,Wenzel MatsLuxembourg,Luxembourg,10,10,2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Hänninen JaakkoFinland,Finland,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Charmig AnthonDenmark,Denmark,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Kamp AlexanderDenmark,Denmark,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Larsen NiklasDenmark,Denmark,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Pedersen CasperDenmark,Denmark,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Pedersen Rasmus SøjbergDenmark,Denmark,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Vingegaard JonasDenmark,Denmark,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Adamietz JohannesGermany,Germany,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Heidemann MiguelGermany,Germany,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Kämna LennardGermany,Germany,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Mattheis OliverGermany,Germany,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Schiffer AntonGermany,Germany,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Zimmermann GeorgGermany,Germany,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Budiak AnatoliiUkraine,Ukraine,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Tsarenko KyryloUkraine,Ukraine,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Brun NilsSwitzerland,Switzerland,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Christen JanSwitzerland,Switzerland,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Darbellay ValentinSwitzerland,Switzerland,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Hirschi MarcSwitzerland,Switzerland,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Tendon ArnaudSwitzerland,Switzerland,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Stöckli JanSwitzerland,Switzerland,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Belohvoščiks KristiānsLatvia,Latvia,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Liepiņš EmīlsLatvia,Latvia,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Kaczmarek JakubPoland,Poland,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,van der Tuuk DannyPoland,Poland,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Finkšt TilenSlovenia,Slovenia,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Govekar MatevžSlovenia,Slovenia,-5,"",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Mohorič MatejSlovenia,Slovenia,"","",2025-10-07 10:26:42
uec-road-european-championships,2025,99,Result,Result,2025-10-05,DNF,Skok AnžeSlovenia,Slovenia,"","",2025-10-07 10:26:42
